ID,state,Level_1,Level_2,LOCATION,ChainID,Mild,Moderate,Frequent
bbe7a24e9d86c05624cc5c7c16288957,SC,food_drink,quick_service,Chick-fil-A,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,SC,grooming,hair salon,Great Clips,1.35314E+18,0,0,1
bbe7a24e9d86c05624cc5c7c16288957,FL,food_drink,cafe,Starbucks Coffee,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,SC,shopping,cell_phone_store,Cricket Wireless,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,health,pharmacy,Starbucks Coffee,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,shopping_mall,The Finish Line,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,automotive,gas_station,Kangaroo,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,shopping_mall,Starbucks Coffee,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,SC,food_drink,quick_service,Subway,1.35314E+18,0,0,1
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,clothing_store,H&M,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,clothing_store,American Eagle Outfitters,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,shoe_store,The Finish Line,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,clothing_store,Ann Taylor,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,shopping_mall,Apple Store,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,shopping_mall,Louis Vuitton,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,food_drink,quick_service,Panera Bread,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,FL,shopping,jewelry_store,ALDO,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,SC,shopping,grocery_or_supermarket,Kroger,1.35314E+18,1,0,0
bbe7a24e9d86c05624cc5c7c16288957,SC,health,pharmacy,Starbucks Coffee,1.35314E+18,1,0,0
